Round,item,id,main_slogan,secondary_slogan,Figuration,Label,Frame1,Frame2,comments
3,736_2020_21_Mackis_Linn 21_006,736,노랑 뚜껑 주세요 EN: Give me the [soju with the] yellow cap please.,BARLEY SOJU EN: BARLEY SOJU,Metonymy_nature,ANIMAL FOR LUCK,ANIMAL,,"any meanings associated to yellow, or is it just branding?; Autumn or barley?? "
5,774_2021_13_JinRo_Chamisul Melon_001,774,달콤한 메로나가 참이슬에 빠졌다! EN: The sweetness of Melona has fallen into Chamisul!,메로나에이슬 EN: Chamisul Melon,Metonymy_nature,ANIMAL FOR LUCK,ANIMAL,,
10,617_2016_16.9_JinRo_Chamisul 16.9_001,617,대한민국이 즐기는 16.9 EN: The 16.9 that the Republic of Korea is enjoying.,부산 최초공개. 참이슬 콜? EN: Revealed in Busan for the first time! Chamisul call?,Metonymy_other_background,PINK FOR FUN,PINK,COLOUR,
5,296_2004_21_JinRo_Chamjinisulro_005,296,"고마워라는 말, 괜히 쑥스럽죠? 그냥 소주한잔 할까?라고 말해보세요 EN: For some reason you feel shy saying 'Thank you', right? Try saying 'Should we have a glass of soju?' instead",소주가 있다! 참이슬이 있다! EN: There's soju! There's Chamisul!,Metonymy_nature_background,SEA FOR CLEANLINESS,WATER,,
11,744_2020_16.9_MuHak_Cheongchun & Good Day_005,747,브라보 청춘! EN: Bravo Cheongchun!,더 이상 소주에 당은 없다! 無가당 소주!  EN: There's no such thing as sugar in soju anymore! Soju with no added sugar!,Metonymy_other,SNAPING FINGERS FOR…??,POP CULTURE,,
10,749_2021_16.9_MuHak_Good Day_001,749,과당0% 깨끗하고 부드러운 무가당 소주 EN: Clean and smooth soju with 0% fructose,영양정보 당류0% 나트륨0% 탄수화물0% 지방0% 트랜스지방0% 포화지방0% EN: Nutritional information. Sugars 0% Natrium 0% Carbohydrates 0% Fats 0% Trans fats 0% Saturated fats 0%,Metonymy_other,SNAPING FINGERS FOR…??,POP CULTURE,,
2,763_2020_16.5_JinRo_Jinro_005,763,마음을 녹이는 초깔끔한 맛 EN: A super clean taste that will melt your heart,소주의 원조 진-로 EN: The origin of soju Jin-ro,Metonymy_nature,UNCLEAR,NATURE,,
5,512_2015_13.5_MuHak_Good Day Colour_002,512,"순~하게 색다르게 즐겨라! EN: Enjoy it lightly, enjoy it differently!",좋은데이 컬러시리즈 EN: Good Day Colour series,Metonymy_other,SOJU FOR ACTION/CHANGE,SOJU ATTRIBUTES,SOJU ATTRIBUTES,
5,7_1963_35_DaeHan_Baekhwa_001,7,"가을의 膳物! 唯一한 貴族的인 銘酒 壽福票 白花로 EN: The gift for autumn! Baekhwa Subok, the only classy fine liquor","特選 吟釀清酒 壽福票 EN: A specially fermented cheongju, Subok",Metaphor_other_text,SOJU IS GIFT,SOJU ATTRIBUTES,SOJU ATTRIBUTES,is this a real metaphor? It looks literal
1,51_1974_30_BaekHwa_Baekhwa_001,51,"白花만의 창작품인 완전 예술의 결정품! EN: Baekhwa's unique creation, a total work of art",NA,Personification,SOJU IS PERSON (STANDING MODEL),SOJU ATTRIBUTES,SOJU ATTRIBUTES,here the bottle IS a model (posing)
2,51_1974_30_BaekHwa_Baekhwa_002,52,"白花만의 창작품인 완전 예술의 결정품! EN: Baekhwa's unique creation, a total work of art",NA,Personification_background,SOJU IS PERSON (STANDING MODEL),SOJU ATTRIBUTES,SOJU ATTRIBUTES,
4,669_2015_19.5_ChoongBuk_Cool Cheongpung_005,669,천연암반수! 부드러움의 차이 EN: Natural spring water! (Taste) the difference in smoothness,초정 천연암반수로 만들어 부드럽고 깨끗한 시원한청풍 EN: Smooth and clean Cool Cheongpung brewed using natural spring water from Chojung,Metonymy_nature_background,SPRING WATER FOR CLEANLINESS,WATER,,
4,669_2015_19.5_ChoongBuk_Cool Cheongpung_005,669,천연암반수! 부드러움의 차이 EN: Natural spring water! (Taste) the difference in smoothness,초정 천연암반수로 만들어 부드럽고 깨끗한 시원한청풍 EN: Smooth and clean Cool Cheongpung brewed using natural spring water from Chojung,Metonymy_nature_background,SPRING WATER FOR CLEANLINESS,WATER,,
3,55_1972_30_BoBae_Bobae_001,55,꼭! 한번 마셔보십시오 EN: Please! Try it at least once.,NA,Metonymy_other,BUSINESS MAN FOR TARGET CONSUMERS,MAN,,
3,483_2014_18.6_Lotte_Chumchurum_002,483,추운겨울이 처음으로 부드러워진다 EN: The first time the harsh winter has softened,100% 천연암반수로 만든 부드러운 소주 EN: Smooth soju made from 100% natural spring water,Metonymy_nature_background,WHITE FOR CLEANLINESS,WHITE,COLOUR,
1,753_2020_17.3_BoHae_Yipsejoo_003,753,"가인이는 잎새주이어라 EN: For Ga-in, it's Yipsejoo",우리동네 잎새주 EN: Our local Yipsejoo,Personification,WOMAN FOR SOFTNESS,WOMAN,,
2,479_2012_16.8_Lotte_Chumchurum Cool_002,479,"16.8도 상쾌해서 필름 안 끊겨 EN: 16.8 percent: It's smooth, so [your] film doesn't get cut short",Think Casual EN: Think Casual,Personification,WOMAN FOR FUN,WOMAN,,"INDIRECT REFERENCE TO LACK OF HANGOVER // This ad plays on the Korean metaphor ""cut the fil"" which means to pass out from too much alcohol! You can drink this soju ""casually"" without such worries, and the implication seems to be that this applies primarily to female drinkers!"
9,748_2020_16.9_MuHak_Cheongchun_002,748,브라보 청춘! EN: Bravo Cheongchun!,이 맛에 산다! EN: We live for this taste!,Personification,WOMAN FOR FUN,WOMAN,,it reverses the traditional green pattern. The colours here seem to give a retro feel - the woman maybe stands for youth?
1,51_1974_30_BaekHwa_Baekhwa_001,51,"白花만의 창작품인 완전 예술의 결정품! EN: Baekhwa's unique creation, a total work of art",NA,Personification,WOMAN FOR SOPHISTICATION,WOMAN,,
1,68_1983_16_Gyeongju_Gyeongju Beobju_001,68,정성이담긴 膳物 EN: A gift filled with sincerity,정성을 담았읍니다. EN: Filled with [our] sincerity,Personification,WOMAN FOR KOREA,WOMAN,,"not sure about the main metaphor/metonymy - how to connect flavour with sincerity? I'm not sure if sincerity itself equals the existence of personification? You coded the main image, but I can't see anything there? originates in PEOPLE ARE CONTAINERS + not sure about the main metaphor/metonymy - how to connect flavour with sincerity? - it seems to be about drinking a pure/sincere drink, makes you a person with those qualities?? LB: The coding should be for the text. I understand this as the drink has been made with sincerity, and that potentially this sincerity transfers to the drinker."
8,712_2020_16.9_DaeSun_Daesun_004,712,DaeSun time EN: DaeSun time,오늘밤은 대선이다! EN: Tonight it's Daesun!,Personification,WOMAN FOR FUN,WOMAN,,
2,274_2008_19.5_BoHae_Yipsejoo_006,274,"한지민은 잎새같다 한잔을 마셔도 잎새주다 EN: Han Jimin is like a leaf, even if she only drinks one glass it has to be Yipsejoo",유기농 메이플시럽으로 깨끗하게! 19.5도로 가볍게! EN: Organic maple syrup makes it clean! 19.5 degrees makes it light!,Metaphor_nature ,WOMAN IS LEAF,WOMAN,,
1,199_1996_25_JinRo_Barrel Aged Premium Soju_004,199,소주의 개념을 바꾼 숙성소주 - [참나무통 맑은소주] 탄생! EN: Aged soju that has changed the concept of soju - the birth of Barrel Aged Premium Soju!,깊고 부드러운 맛! EN: Tastes rich and smooth!,Personification,UNCLEAR,ONE OFF,,"Right! It can be a personification (soju is a person with agency to break walls) or a cause-effect metonymy? In any case, the soju sees the light as that's covered with understnading is seeing // LB: There is also the metaphor of birth - the soju breaking out of the ""womb"" of the barrell??"
5,159_1995_23_BoHae_City_001,159,산소가 좋아! 맛이 좋아! EN: Oxygen is good! The taste is good!,산이나 바다에서 술을 마시면 이상하게도 덜 취하고 빨리 깹니다. 그것은 바로 산소 때문입니다. EN: For some strange reason when we drink at the mountains or the beach we don't get as drunk and sober up quickly. The reason for that is the oxygen.,Metonymy_nature,FISH FOR CLEANLINESS,WATER,,
5,159_1995_23_BoHae_City_001,159,산소가 좋아! 맛이 좋아! EN: Oxygen is good! The taste is good!,산이나 바다에서 술을 마시면 이상하게도 덜 취하고 빨리 깹니다. 그것은 바로 산소 때문입니다. EN: For some strange reason when we drink at the mountains or the beach we don't get as drunk and sober up quickly. The reason for that is the oxygen.,Metonymy_nature,FISH FOR CLEANLINESS,WATER,,
10,340_2009_20.1_JinRo_Chamjinisul_005,340,마음까지 Fresh EN: Fresh to the heart,깨끗하고 깔끔한 소주 EN: A clean and smooth soju.,Metonymy_other,MARYLIN MONROE'S DRESS  FOR LIGHTNESS,POP CULTURE,,
4,81_1988_25_BoHae_Bohae Maechwi_001,81,"매취, 고요한 아침의 향기라 부르고 싶군요 EN: Maechui - I want to call it the Aroma of the Morning Calm",Maechui - the Aroma of the Morning Calm EN: Maechui - the Aroma of the Morning Calm,Metonymy_nature_text,MORNING CALM FOR CLEANLINESS,MORNING,,
4,294_2004_21_JinRo_Chamjinisulro_003,294,"한번 봐야지는 그냥 하는 말, 정말 보고싶다면…. 오늘, 소주 한잔 할까? EN: When people say 'We should meet sometime' they don't mean it. If you really want to see someone…. 'Do you want to have a glass of soju today?'",사람이 있다! 참이슬이 있다! EN: There's people! There's Chamisul!,Personification,SOJU FOR AFFECTION,AFFECTION,,
5,296_2004_21_JinRo_Chamjinisulro_005,296,"고마워라는 말, 괜히 쑥스럽죠? 그냥 소주한잔 할까?라고 말해보세요 EN: For some reason you feel shy saying 'Thank you', right? Try saying 'Should we have a glass of soju?' instead",소주가 있다! 참이슬이 있다! EN: There's soju! There's Chamisul!,Personification,SOJU FOR AFFECTION,AFFECTION,,
2,763_2020_16.5_JinRo_Jinro_005,763,마음을 녹이는 초깔끔한 맛 EN: A super clean taste that will melt your heart,소주의 원조 진-로 EN: The origin of soju Jin-ro,Personification_text,AFFECTION IS WARMTH,AFFECTION,,
3,352_2005_19.5_ChoongBuk_Siwon Soju_010,352,"학교와 학번은 달라도 우린 시원 EN: Even if we're from different schools and different years, we all choose Siwon!",초정리 맑은 물로 빚은 부드럽고 깨끗한 소주 EN: A smooth and clean tasting soju brewed using clear spring water from Chojeong-ri,Metonymy_other,ARROW FOR DIGITAL MEDIA FOR YOUNG PEOPLE,YOUTH,,
,217_1998_23_JinRo_Sunhan Jinro_002,217,아스파라긴을 마신 '순한진로' EN: ''Sunhan Jinro' infused with asparagine,"아스파라긴이 아침을 부드럽게 바꾼다. 부드러움의 개념을 바꾼 순하고 브드러운 소주, 순한진로 EN: Asparagine smooths out your mornings. A soft and smooth soju that has changed the very definition of smoothness, Sunhan Jinro",Metonymy_nature_text,ASPARAGINE FOR HEALTH,HEALTH,,
3,659_2012_19.5_ChoongBuk_Cool Cheongpung_001,659,"청풍명월 제천 사람이라 시원만 마셔요! EN: I'm from Jecheon, where the wind is cool and the moon is bright, so I only drink Cool (Cheongpung)!",초정 천연암반수로 만들어 부드럽고 깨끗한 시원한청풍 EN: Smooth and clean Cool Cheongpung brewed using natural spring water from Chojung,Metonymy_nature_text,"ATTRIBUTES OF NATURAL ELEMENTS (WIND, MOON, WATER) FOR ATTRIBUTES OF SOJU (COOLNESS, BRIGHTNESS, CLEANLINESS)",NATURE,,
5,7_1963_35_DaeHan_Baekhwa_001,7,"가을의 膳物! 唯一한 貴族的인 銘酒 壽福票 白花로 EN: The gift for autumn! Baekhwa Subok, the only classy fine liquor","特選 吟釀清酒 壽福票 EN: A specially fermented cheongju, Subok",Metonymy_nature_text,AUTUMN FOR FESTIVITY,KOREANNESS,,
,24_1964_35_SeoGwang_Jinro_002,24,"이른아침의 참 이슬 <真露>  EN: The fresh dew of early dawn, Jinro","9月은 진미의 季節, 真味의 ""真露는"" 여러분에게 흥겨운 가을을 마시게 한답니다 EN: September is the season of authentic taste. Drink the real taste of Jinro for a merry autmn",Metonymy_nature_text,AUTUMN FOR FESTIVITY,KOREANNESS,,
,26_1965_30_SeoGwang_Jinro_001,26,"真味의 真露!  EN: The real taste, Jinro!","仲秋佳節은 真味의 季節! 季節의 風味 真味의 真露로 이 ""가을""을 즐겨보세요. EN: Mid-autmn festival is the season of authentic taste! Enjoy this autumn with the flavour of the season, the real taste of Jinro",Metonymy_nature_text,AUTUMN FOR FESTIVITY,KOREANNESS,,
8,712_2020_16.9_DaeSun_Daesun_004,712,DaeSun time EN: DaeSun time,오늘밤은 대선이다! EN: Tonight it's Daesun!,Metonymy_other_background,BALLOON FOR PARTY,FESTIVITY,,
,279_2000_23_JinRo_Chamjinisulro_001,279,함께 나눌게요! EN: I'll share!,나누는 깨끗함. 참真이슬露. EN: A sharing cleanliness (clarity). Chamisul.,Metonymy_nature_text,BAMBOO FOR CLEANLINESS,NATURE,,
3,279_2000_23_JinRo_Chamjinisulro_001,279,함께 나눌게요! EN: I'll share!,나누는 깨끗함. 참真이슬露. EN: A sharing cleanliness (clarity). Chamisul.,Metonymy_nature_background,BAMBOO FOR CLEANLINESS,NATURE,,
,321_2007_19.5_JinRo_Chamisul Fresh_006,321,대한민국 세대공감 EN: Loved by all generations of the Republic of Korea,특허받은 천연대나무 숯으로 정제한 깨끗하고 깔끔한 소주 - 참이슬 fresh. EN: Clean and smooth soju distilled using patented natural bamboo charcoal.,Metonymy_nature_text,BAMBOO FOR CLEANLINESS,NATURE,,
5,221_1998_23&25_JinRo_Chamjinisulro & Jinro Gold_001,221,"주머니가 얇아도 정은 두텁게 - 소주로 돌아가자, 두꺼비로 건배! EN: Even if our wallets are thin our affection is rich - let's go back to soju, let's cheers with the bullfrog!","소주로 돌아가자, 두꺼비로 건배! EN: Let's go back to soju, let's cheers with the bullfrog!",Metonymy_nature,BAMBOO FOR CLEANLINESS,NATURE,,"not sure if they are two men or men & woman (if the latter, it should be noted that is not as sexualised as the women in modern adverts) - I think it is two men - Good to illustrate transition in masculinities"
1,640_2017_17.2_JinRo_Chamisul Fesh_002,640,깨끗한 이슬 먹자 . EN: Let's have [eat] clean [clear] dew.,NA,Metonymy_nature,BAMBOO FOR CLEANLINESS,NATURE,,
11,50_1970_30_BaekHwa_Baekhwa_002,51,맛과 품질을 위한 우리의 노력은 올해도 변치 않을 것입니다 EN: We will continue to work hard to deliver [good] taste and quality this year,69年度 市場占有率 60%！ EN: 60% market share in the year 1970,Metaphor_nature_background,BAMBOO FOR GROWTH,NATURE,,
2,201_1996_25_JinRo_Barrel Aged Premium Soju_006,201,깨어난다! EN: [It] is waking up!,깊고 부드러운 맛! EN: Tastes rich and smooth!,Metonymy_other,BARREL FOR AGING,SOJU ATTRIBUTES,SOJU ATTRIBUTES,
3,213_1997_25_JinRo_Barrel Aged Premium Soju_012,213,혼자서 안될 땐 머리를 맞대본다 EN: We put our heads together when we can't figure it our on our own,"깊고 부드러운 맛, 깨끗한 뒤끝! EN: Tastes rich and smooth, and the aftermath is clean!",Metonymy_other_background,BARREL FOR AGING,SOJU ATTRIBUTES,SOJU ATTRIBUTES,
1,199_1996_25_JinRo_Barrel Aged Premium Soju_004,199,소주의 개념을 바꾼 숙성소주 - [참나무통 맑은소주] 탄생! EN: Aged soju that has changed the concept of soju - the birth of Barrel Aged Premium Soju!,깊고 부드러운 맛! EN: Tastes rich and smooth!,Personification,BARREL FOR AGING ,SOJU ATTRIBUTES,SOJU ATTRIBUTES,
5,774_2021_13_JinRo_Chamisul Melon_001,774,달콤한 메로나가 참이슬에 빠졌다! EN: The sweetness of Melona has fallen into Chamisul!,메로나에이슬 EN: Chamisul Melon,Metonymy_nature_background,BEACH FOR SUMMER FOR HEAT,ONE OFF,,
1,731_2020_21_Mackis_Linn 21_001,731,사진 좀 찍어줄래요? 신상이라구욧! EN: Can you please take a photo for me? I'm new on the market!,LINK TOGETHER EN: LINK TOGETHER,Metonymy_other,ANIMAL FOR LUCK,ANIMAL,,"I guess this is sth very cutlural - taking pictures about new things? And what is the meaning of 21? // I guess this is sth very cutlural - taking pictures about new things? And what is the meaning of 21? It's the alcohol content, which is higher than many modern sojus"
2,735_2020_21_Mackis_Linn 21_005,735,찐소주 EN: Strong soju,NA,Metonymy_nature,ANIMAL FOR LUCK,ANIMAL,,
3,736_2020_21_Mackis_Linn 21_006,736,노랑 뚜껑 주세요 EN: Give me the [soju with the] yellow cap please.,BARLEY SOJU EN: BARLEY SOJU,Metonymy_nature,ANIMAL FOR LUCK,ANIMAL,,
4,737_2020_21_Mackis_Linn 21_007,737,BARLEY SOJU EN: BARLEY SOJU,"풍미 가득한 보리 소주 린21 EN: Linn 21, barley soju full of flavor",Metonymy_nature,ANIMAL FOR LUCK,ANIMAL,,"The bird, which appears to be a magpie, could also signal good luck. // Once we finish the annotation of the whole corpus we should make sure that all the barley metaphors are consistent"
4,737_2020_21_Mackis_Linn 21_007,737,BARLEY SOJU EN: BARLEY SOJU,"풍미 가득한 보리 소주 린21 EN: Linn 21, barley soju full of flavor",Metonymy_nature,ANIMAL FOR LUCK,ANIMAL,,
8,46_1979_25_DaeSun_Daesun_001,46,내고장의 술! 대선소주 EN: My fixed choice for alcohol! Daesun soju,고향의 정취가 넘치는 대선소주! EN: Daesun soju - overflowing with the aroma of our hometowns,Metaphor_nature_background,ANIMAL FOR LUCK,ANIMAL,,
8,781_2021_16.5_JinRo_Chamisul Fesh_002,782,이슬같이 깨끗한 다음날 EN: So the next morning is fresh like the morning dew,"이슬같은 깨끗함 참이슬 EN: Chamisul, fresh like the morning dew",Metonymy_other,BLUE FOR CLEANLINESS,BLUE,COLOUR,
5,670_2016_19.5_ChoongBuk_Cool Cheongpung_001,670,천연암반수 시원한청풍 EN: Cool Cheongpung (with) natural spring water,초정 천연암반수로 만든 부드럽고 깨끗한 소주 EN: Smooth and clean soju brewed using natural spring water from Chojung,Metonymy_other,BLUE FOR CLEANLINESS,BLUE,COLOUR,
10,797_2021_17.2_ChoongBuk_Cool Cheongpung_003,797,더 부드럽게 더 깨끗하게 EN: Smoother and cleaner,"충북대표소주 시원한청풍 EN: Chungbuk's representative soju, Cool Cheongpung",Metonymy_other,BLUE FOR CLEANLINESS,BLUE,COLOUR,
8,744_2020_16.9_MuHak_Cheongchun & Good Day_002,744,브라보 청춘! EN: Bravo Cheongchun!,더 이상 소주에 당은 없다! 無가당 소주!  EN: There's no such thing as sugar in soju anymore! Soju with no added sugar!,Metonymy_other_background,BLUE FOR CLEANLINESS,BLUE,COLOUR,
10,749_2021_16.9_MuHak_Good Day_001,749,과당0% 깨끗하고 부드러운 무가당 소주 EN: Clean and smooth soju with 0% fructose,영양정보 당류0% 나트륨0% 탄수화물0% 지방0% 트랜스지방0% 포화지방0% EN: Nutritional information. Sugars 0% Natrium 0% Carbohydrates 0% Fats 0% Trans fats 0% Saturated fats 0%,Metonymy_other_background,BLUE FOR CLEANLINESS,BLUE,COLOUR,
3,659_2012_19.5_ChoongBuk_Cool Cheongpung_001,659,"청풍명월 제천 사람이라 시원만 마셔요! EN: I'm from Jecheon, where the wind is cool and the moon is bright, so I only drink Cool (Cheongpung)!",초정 천연암반수로 만들어 부드럽고 깨끗한 시원한청풍 EN: Smooth and clean Cool Cheongpung brewed using natural spring water from Chojung,Metonymy_nature_background,BLUE FOR CLEANLINESS,BLUE,COLOUR,
1,462_2019_16.9_DaeSun_Daesun_012,462,내가바로 핵인싸 EN: I am THE popularity king/queen,대선 EN: Daesun,Metonymy_nature,BLUE FOR WATER,BLUE,COLOUR,
6,83_1989_25_JinRo_Jinro_002,83,젊음예찬. 싱그러운 그대 청춘곁에서 나 또한 영원하리니 EN: An ode to youth. May I always be by your side in the shining days of your youth.,인생을 배운다 - 진로 소주 EN: Learning to live life - Jinro soju,Metonymy_other,BOOKS FOR YOUTH,YOUTH,,
,199_1996_25_JinRo_Barrel Aged Premium Soju_004,199,소주의 개념을 바꾼 숙성소주 - [참나무통 맑은소주] 탄생! EN: Aged soju that has changed the concept of soju - the birth of Barrel Aged Premium Soju!,깊고 부드러운 맛! EN: Tastes rich and smooth!,Personification_text,BREWING SOJU IS GIVING BIRTH,ONE OFF,,
8,86_1994_25_KyeungWeol_Green_002,86,이젠 부드러운 소주시대! EN: Now is the era of soft soju!,"부드러운 저녁, 깨끗한 아침 - 그린 소주 EN: A mellow evening, a clean morning - Green soju",Metonymy_nature,BUBBLES FOR WATER,WATER,,
6,780_2021_25_JinRo_Ilpoom Jinro_001,780,ALL NEW 일품진로 EN: All new Ilpoom Jinro,더 당당해진 일품다운 품격으로 EN: Returning with upgraded confidence befitting of a superior (Ilpoom) product,Metonymy_other_background,BUILDING FOR MODERNITY,MODERNITY,SOJU ATTRIBUTES,
3,24_1964_35_SeoGwang_Jinro_002,24,"이른아침의 참 이슬 <真露>  EN: The fresh dew of early dawn, Jinro","9月은 진미의 季節, 真味의 ""真露는"" 여러분에게 흥겨운 가을을 마시게 한답니다 EN: September is the season of authentic taste. Drink the real taste of Jinro for a merry autmn",Metonymy_nature,ANIMAL FOR LUCK,ANIMAL,,"what are the connotations of autumn in Korea? - Kind of the best season - good time to be outdoors after the hot summer, crisper air, maple leaves, harvest - Also a popular time to drink! // The bullfrog seems to be a symbol for luck, perhaps due to its stubborn, strong and hardy nature, as well as its plump visual appearance (showing wealth, fortune) and maybe its' visual similarity to the image of buddha"
7,63_1971_30_JinRo_Jinro_002,64,"집집마다 真露 두꺼비의 幸運을! EN: For every household, the luck of the Jinro bullfrog!",幸運 두꺼비를 찾으세요! EN: Look for the lucky bullfrog!,Metonymy_other,ANIMAL FOR LUCK,ANIMAL,,
9,88_1994_25_KyeungWeol_Green_004,88,"관광용 소주, 이정도는 돼야합니다 EN: Travel gift soju has to be at least as good as this","국내 최초, 원적외선 처리한 청정수로 빚습니다 EN: The first [soju] in the country to be brewed with water purified using infrared light",Personification_background,BUSINESS MAN FOR TARGET CONSUMERS,MAN,,
10,89_1994_25_KyeungWeol_Green_005,89,마실때 부드럽다! 뒤끝이 깨끗하다! 그린소주 EN: Goes down smooth! The aftermath is clean! Green soju,소주 - 그 오해를 풉시다! EN: Soju - let's resolve the misunderstanding!,Personification,BUSINESS MAN FOR TARGET CONSUMERS,MAN,,
